"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Dec 06 11:27:49 AEDT 2020","Sun Dec 06 11:27:59 AEDT 2020","9617","","Login suite","","Login suite","Verify if a user able to login with a valid username and valid password.","Verify if a user able to login with a valid username and valid password.",""
"passed","Sun Dec 06 11:27:40 AEDT 2020","Sun Dec 06 11:27:49 AEDT 2020","9185","","Login suite","","Login suite","Verify if a user can not log in with an invalid username and valid password.","Verify if a user can not log in with an invalid username and valid password.",""
